quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
595/8	0.125	38	38	11/32	11/32	3/4	1	2	1/32			1/32	1		4	52	E3	3	937
149/2	0.125	38	38	3/8	3/8	3/4	1	2	1/32			1/32	1		2	50	D3	3	938
597/8	0.125	38	38	13/32	13/32	3/4	1	2	1/32			1/32	1		-2	46	Bb2	2	939
299/4	0.125	38	38	7/16	7/16	3/4	1	2	1/32			1/32	1		1	43	G2	2	940
599/8	0.125	38	38	15/32	15/32	3/4	1	2	1/32			1/32	1		4	40	E2	2	941
75	0.5	38	38	1/2	1/2	3/4	2	3	1/8			1/8	1		-2	34	Bb1	1	959
601/8	0.125	38	38	17/32	17/32	3/4	1	2	1/32			1/32	1		1	43	G2	2	942
301/4	0.125	38	38	9/16	9/16	3/4	1	2	1/32			1/32	1		-2	46	Bb2	2	943
603/8	0.125	38	38	19/32	19/32	3/4	1	2	1/32			1/32	1		2	50	D3	3	944
151/2	0.5	38	38	5/8	5/8	3/4	2	3	1/8			1/8	1		-2	46	Bb2	2	960
151/2	0.125	38	38	5/8	5/8	3/4	1	2	1/32			1/32	1		1	55	G3	3	945
605/8	0.125	38	38	21/32	21/32	3/4	1	2	1/32			1/32	1		-2	58	Bb3	3	946
303/4	0.125	38	38	11/16	11/16	3/4	1	2	1/32			1/32	1		2	62	D4	4	947
607/8	0.125	38	38	23/32	23/32	3/4	1	2	1/32			1/32	1		1	67	G4	4	948
76	0.125	39	39	0	0	3/4	2	1	1/32			1/32	1		2	62	D4	4	972
76	1.0	39	39	0	0	3/4	2	2	1/4			1/4	1		2	62	D4	4	988
76	1.0	39	39	0	0	3/4	1	1	1/4			1/4	1		4	64	E4	4	961
76	1.0	39	39	0	0	3/4	1	1	1/4			1/4	1		1	67	G4	4	961
76	1.0	39	39	0	0	3/4	1	1	1/4			1/4	1		-2	70	Bb4	4	961
76	1.0	39	39	0	0	3/4	1	1	1/4			1/4	1		4	76	E5	5	961
609/8	0.125	39	39	1/32	1/32	3/4	2	1	1/32			1/32	1		-2	58	Bb3	3	973
305/4	0.125	39	39	1/16	1/16	3/4	2	1	1/32			1/32	1		1	55	G3	3	974
611/8	0.125	39	39	3/32	3/32	3/4	2	1	1/32			1/32	1		2	50	D3	3	975
153/2	0.125	39	39	1/8	1/8	3/4	2	1	1/32			1/32	1		1	55	G3	3	976
613/8	0.125	39	39	5/32	5/32	3/4	2	1	1/32			1/32	1		-2	58	Bb3	3	977
307/4	0.125	39	39	3/16	3/16	3/4	2	1	1/32			1/32	1		2	62	D4	4	978
615/8	0.125	39	39	7/32	7/32	3/4	2	1	1/32			1/32	1		1	67	G4	4	979
77	0.125	39	39	1/4	1/4	3/4	1	2	1/32			1/32	1		0	60	C4	4	964
77	1.0	39	39	1/4	1/4	3/4	2	2	1/4			1/4	1		0	60	C4	4	989
77	1.0	39	39	1/4	1/4	3/4	1	1	1/4			1/4	1		-1	65	F4	4	962
77	1.0	39	39	1/4	1/4	3/4	1	1	1/4			1/4	1		3	69	A4	4	962
77	1.0	39	39	1/4	1/4	3/4	1	1	1/4			1/4	1		-3	75	Eb5	5	962
77	1.0	39	39	1/4	1/4	3/4	1	1	1/4			1/4	1		-1	77	F5	5	962
617/8	0.125	39	39	9/32	9/32	3/4	1	2	1/32			1/32	1		3	57	A3	3	965
309/4	0.125	39	39	5/16	5/16	3/4	1	2	1/32			1/32	1		-3	51	Eb3	3	966
619/8	0.125	39	39	11/32	11/32	3/4	1	2	1/32			1/32	1		0	48	C3	3	967
155/2	0.25	39	39	3/8	3/8	3/4	2	1	1/16			1/16	1		-2	46	Bb2	2	980
155/2	0.125	39	39	3/8	3/8	3/4	1	2	1/32			1/32	1		3	57	A3	3	968
621/8	0.125	39	39	13/32	13/32	3/4	1	2	1/32			1/32	1		-3	63	Eb4	4	969
311/4	0.25	39	39	7/16	7/16	3/4	2	1	1/16			1/16	1		-2	34	Bb1	1	981
311/4	0.125	39	39	7/16	7/16	3/4	1	2	1/32			1/32	1		-1	65	F4	4	970
623/8	0.125	39	39	15/32	15/32	3/4	1	2	1/32			1/32	1		3	69	A4	4	971
78	1.0	39	39	1/2	1/2	3/4	2	2	1/4			1/4	1		5	47	B2	2	990
78	1.0	39	39	1/2	1/2	3/4	2	2	1/4			1/4	1		6	54	F#3	3	990
78	1.0	39	39	1/2	1/2	3/4	2	2	1/4			1/4	1		3	57	A3	3	990
78	1.0	39	39	1/2	1/2	3/4	2	2	1/4			1/4	1		5	59	B3	3	990
78	1.0	39	39	1/2	1/2	3/4	1	1	1/4			1/4	1		8	68	G#4	4	963
78	1.0	39	39	1/2	1/2	3/4	1	1	1/4			1/4	1		7	73	C#5	5	963
78	1.0	39	39	1/2	1/2	3/4	1	1	1/4			1/4	1		8	80	G#5	5	963
547/7	0.14285714285714285	39	39	15/28	15/28	3/4	2	1	1/28			1/16	4/7		3	69	A4	4	982
548/7	0.14285714285714285	39	39	4/7	4/7	3/4	2	1	1/28			1/16	4/7		9	63	D#4	4	983
549/7	0.14285714285714285	39	39	17/28	17/28	3/4	2	1	1/28			1/16	4/7		5	59	B3	3	984
550/7	0.14285714285714285	39	39	9/14	9/14	3/4	2	1	1/28			1/16	4/7		9	63	D#4	4	985
551/7	0.14285714285714285	39	39	19/28	19/28	3/4	2	1	1/28			1/16	4/7		3	57	A3	3	986
552/7	0.14285714285714285	39	39	5/7	5/7	3/4	2	1	1/28			1/16	4/7		9	51	D#3	3	987
79	1.0	40	40	0	0	3/4	2	1	1/4			1/4	1		-2	46	Bb2	2	1007
79	1.0	40	40	0	0	3/4	2	1	1/4			1/4	1		-1	53	F3	3	1007
79	1.0	40	40	0	0	3/4	2	1	1/4			1/4	1		-2	58	Bb3	3	1007
79	1.0	40	40	0	0	3/4	1	1	1/4			1/4	1		5	71	B4	4	991
79	1.0	40	40	0	0	3/4	1	1	1/4			1/4	1		-1	77	F5	5	991
79	1.0	40	40	0	0	3/4	1	1	1/4			1/4	1		-4	80	Ab5	5	991
79	1.0	40	40	0	0	3/4	1	1	1/4			1/4	1		5	83	B5	5	991
159/2	0.08333333333333333	40	40	1/8	1/8	3/4	1	2	1/48			1/32	2/3		6	54	F#3	3	994
955/12	0.08333333333333333	40	40	7/48	7/48	3/4	1	2	1/48			1/32	2/3		-4	56	Ab3	3	995
239/3	0.08333333333333333	40	40	1/6	1/6	3/4	1	2	1/48			1/32	2/3		2	62	D4	4	996
319/4	0.08333333333333333	40	40	3/16	3/16	3/4	1	2	1/48			1/32	2/3		-1	65	F4	4	997
479/6	0.08333333333333333	40	40	5/24	5/24	3/4	1	2	1/48			1/32	2/3		-4	68	Ab4	4	998
959/12	0.08333333333333333	40	40	11/48	11/48	3/4	1	2	1/48			1/32	2/3		2	74	D5	5	999
80	2.0	40	40	1/4	1/4	3/4	2	1	1/2			1/2	1		-4	44	Ab2	2	1008
80	2.0	40	40	1/4	1/4	3/4	2	1	1/2			1/2	1		-4	56	Ab3	3	1008
80	1.0	40	40	1/4	1/4	3/4	1	1	1/4			1/4	1		0	72	C5	5	992
80	1.0	40	40	1/4	1/4	3/4	1	1	1/4			1/4	1		-3	75	Eb5	5	992
80	1.0	40	40	1/4	1/4	3/4	1	1	1/4			1/4	1		-4	80	Ab5	5	992
80	1.0	40	40	1/4	1/4	3/4	1	1	1/4			1/4	1		0	84	C6	6	992
321/4	0.125	40	40	5/16	5/16	3/4	2	2	1/32			1/32	1		-3	51	Eb3	3	1009
643/8	0.125	40	40	11/32	11/32	3/4	2	2	1/32			1/32	1		-4	56	Ab3	3	1010
161/2	0.125	40	40	3/8	3/8	3/4	2	2	1/32			1/32	1		0	60	C4	4	1011
645/8	0.125	40	40	13/32	13/32	3/4	2	2	1/32			1/32	1		-3	63	Eb4	4	1012
323/4	0.125	40	40	7/16	7/16	3/4	2	2	1/32			1/32	1		-4	68	Ab4	4	1013
647/8	0.125	40	40	15/32	15/32	3/4	2	2	1/32			1/32	1		0	72	C5	5	1014
81	0.25	40	40	1/2	1/2	3/4	1	2	1/16			1/16	1		-1	65	F4	4	1000
81	0.25	40	40	1/2	1/2	3/4	1	2	1/16			1/16	1		-2	70	Bb4	4	1000
81	1.0	40	40	1/2	1/2	3/4	1	1	1/4			1/4	1		2	74	D5	5	993
81	1.0	40	40	1/2	1/2	3/4	1	1	1/4			1/4	1		-1	77	F5	5	993
81	1.0	40	40	1/2	1/2	3/4	1	1	1/4			1/4	1		-2	82	Bb5	5	993
81	1.0	40	40	1/2	1/2	3/4	1	1	1/4			1/4	1		2	86	D6	6	993
325/4	0.125	40	40	9/16	9/16	3/4	1	2	1/32			1/32	1		2	62	D4	4	1001
651/8	0.125	40	40	19/32	19/32	3/4	1	2	1/32			1/32	1		-1	65	F4	4	1002
163/2	0.25	40	40	5/8	5/8	3/4	2	2	1/16			1/16	1		-2	46	Bb2	2	1015
163/2	0.125	40	40	5/8	5/8	3/4	1	2	1/32			1/32	1		-2	70	Bb4	4	1003
653/8	0.125	40	40	21/32	21/32	3/4	1	2	1/32			1/32	1		2	74	D5	5	1004
327/4	0.25	40	40	11/16	11/16	3/4	2	2	1/16			1/16	1		-2	34	Bb1	1	1016
327/4	0.125	40	40	11/16	11/16	3/4	1	2	1/32			1/32	1		-1	77	F5	5	1005
655/8	0.125	40	40	23/32	23/32	3/4	1	2	1/32			1/32	1		-2	82	Bb5	5	1006
82	1.0	41	41	0	0	3/4	2	2	1/4			1/4	1		6	42	F#2	2	1041
82	1.0	41	41	0	0	3/4	2	2	1/4			1/4	1		7	49	C#3	3	1041
82	1.0	41	41	0	0	3/4	2	2	1/4			1/4	1		6	54	F#3	3	1041
82	1.0	41	41	0	0	3/4	1	1	1/4			1/4	1		4	76	E5	5	1017
82	1.0	41	41	0	0	3/4	1	1	1/4			1/4	1		8	80	G#5	5	1017
82	1.0	41	41	0	0	3/4	1	1	1/4			1/4	1		7	85	C#6	6	1017
82	1.0	41	41	0	0	3/4	1	1	1/4			1/4	1		4	88	E6	6	1017
575/7	0.14285714285714285	41	41	1/28	1/28	3/4	2	1	1/28			1/32	8/7		7	49	C#3	3	1020
576/7	0.14285714285714285	41	41	1/14	1/14	3/4	2	1	1/28			1/32	8/7		10	58	A#3	3	1021
577/7	0.14285714285714285	41	41	3/28	3/28	3/4	2	1	1/28			1/32	8/7		4	64	E4	4	1022
578/7	0.14285714285714285	41	41	1/7	1/7	3/4	2	1	1/28			1/32	8/7		8	68	G#4	4	1023
579/7	0.14285714285714285	41	41	5/28	5/28	3/4	2	1	1/28			1/32	8/7		10	58	A#3	3	1024
580/7	0.14285714285714285	41	41	3/14	3/14	3/4	2	1	1/28			1/32	8/7		7	49	C#3	3	1025
83	2.0	41	41	1/4	1/4	3/4	2	2	1/2			1/2	1		4	40	E2	2	1042
83	2.0	41	41	1/4	1/4	3/4	2	2	1/2			1/2	1		5	47	B2	2	1042
83	2.0	41	41	1/4	1/4	3/4	2	2	1/2			1/2	1		4	52	E3	3	1042
83	1.0	41	41	1/4	1/4	3/4	1	1	1/4			1/4	1		6	78	F#5	5	1018
83	1.0	41	41	1/4	1/4	3/4	1	1	1/4			1/4	1		2	86	D6	6	1018
83	1.0	41	41	1/4	1/4	3/4	1	1	1/4			1/4	1		6	90	F#6	6	1018
748/9	0.1111111111111111	41	41	5/18	5/18	3/4	2	1	1/36			1/32	8/9		8	56	G#3	3	1026
749/9	0.1111111111111111	41	41	11/36	11/36	3/4	2	1	1/36			1/32	8/9		2	62	D4	4	1027
250/3	0.1111111111111111	41	41	1/3	1/3	3/4	2	1	1/36			1/32	8/9		6	66	F#4	4	1028
751/9	0.1111111111111111	41	41	13/36	13/36	3/4	2	1	1/36			1/32	8/9		8	68	G#4	4	1029
752/9	0.1111111111111111	41	41	7/18	7/18	3/4	2	1	1/36			1/32	8/9		2	74	D5	5	1030
251/3	0.1111111111111111	41	41	5/12	5/12	3/4	2	1	1/36			1/32	8/9		6	66	F#4	4	1031
754/9	0.1111111111111111	41	41	4/9	4/9	3/4	2	1	1/36			1/32	8/9		8	68	G#4	4	1032
755/9	0.1111111111111111	41	41	17/36	17/36	3/4	2	1	1/36			1/32	8/9		2	74	D5	5	1033
84	1.0	41	41	1/2	1/2	3/4	1	1	1/4			1/4	1		8	80	G#5	5	1019
84	1.0	41	41	1/2	1/2	3/4	1	1	1/4			1/4	1		4	88	E6	6	1019
84	1.0	41	41	1/2	1/2	3/4	1	1	1/4			1/4	1		8	92	G#6	6	1019
673/8	0.125	41	41	17/32	17/32	3/4	2	1	1/32			1/32	1		2	74	D5	5	1034
337/4	0.125	41	41	9/16	9/16	3/4	2	1	1/32			1/32	1		5	71	B4	4	1035
675/8	0.125	41	41	19/32	19/32	3/4	2	1	1/32			1/32	1		8	68	G#4	4	1036
169/2	0.125	41	41	5/8	5/8	3/4	2	1	1/32			1/32	1		6	66	F#4	4	1037
677/8	0.125	41	41	21/32	21/32	3/4	2	1	1/32			1/32	1		2	62	D4	4	1038
339/4	0.125	41	41	11/16	11/16	3/4	2	1	1/32			1/32	1		5	59	B3	3	1039
679/8	0.125	41	41	23/32	23/32	3/4	2	1	1/32			1/32	1		8	56	G#3	3	1040
85	1.0	42	42	0	0	3/4	2	2	1/4			1/4	1		2	38	D2	2	1063
85	1.0	42	42	0	0	3/4	2	2	1/4			1/4	1		-2	46	Bb2	2	1063
85	1.0	42	42	0	0	3/4	2	2	1/4			1/4	1		2	50	D3	3	1063
85	1.0	42	42	0	0	3/4	1	1	1/4			1/4	1		-2	70	Bb4	4	1043
85	1.0	42	42	0	0	3/4	1	1	1/4			1/4	1		2	74	D5	5	1043
85	1.0	42	42	0	0	3/4	1	1	1/4			1/4	1		-1	77	F5	5	1043
85	1.0	42	42	0	0	3/4	1	1	1/4			1/4	1		-2	82	Bb5	5	1043
851/10	0.1	42	42	1/40	1/40	3/4	2	1	1/40			1/32	4/5		-1	53	F3	3	1045
426/5	0.1	42	42	1/20	1/20	3/4	2	1	1/40			1/32	4/5		-2	58	Bb3	3	1046
853/10	0.1	42	42	3/40	3/40	3/4	2	1	1/40			1/32	4/5		2	62	D4	4	1047
427/5	0.1	42	42	1/10	1/10	3/4	2	1	1/40			1/32	4/5		-1	65	F4	4	1048
171/2	0.1	42	42	1/8	1/8	3/4	2	1	1/40			1/32	4/5		-2	70	Bb4	4	1049
428/5	0.1	42	42	3/20	3/20	3/4	2	1	1/40			1/32	4/5		-1	65	F4	4	1050
857/10	0.1	42	42	7/40	7/40	3/4	2	1	1/40			1/32	4/5		2	62	D4	4	1051
429/5	0.1	42	42	1/5	1/5	3/4	2	1	1/40			1/32	4/5		-2	58	Bb3	3	1052
859/10	0.1	42	42	9/40	9/40	3/4	2	1	1/40			1/32	4/5		-1	53	F3	3	1053
86	1.0	42	42	1/4	1/4	3/4	2	2	1/4			1/4	1		0	36	C2	2	1064
86	1.0	42	42	1/4	1/4	3/4	2	2	1/4			1/4	1		1	43	G2	2	1064
86	1.0	42	42	1/4	1/4	3/4	2	2	1/4			1/4	1		0	48	C3	3	1064
86	1.0	42	42	1/4	1/4	3/4	1	1	1/4			1/4	1		0	72	C5	5	1044
86	1.0	42	42	1/4	1/4	3/4	1	1	1/4			1/4	1		4	76	E5	5	1044
86	1.0	42	42	1/4	1/4	3/4	1	1	1/4			1/4	1		1	79	G5	5	1044
86	1.0	42	42	1/4	1/4	3/4	1	1	1/4			1/4	1		0	84	C6	6	1044
861/10	0.1	42	42	11/40	11/40	3/4	2	1	1/40			1/32	4/5		4	52	E3	3	1054
431/5	0.1	42	42	3/10	3/10	3/4	2	1	1/40			1/32	4/5		1	55	G3	3	1055
863/10	0.1	42	42	13/40	13/40	3/4	2	1	1/40			1/32	4/5		0	60	C4	4	1056
432/5	0.1	42	42	7/20	7/20	3/4	2	1	1/40			1/32	4/5		4	64	E4	4	1057
173/2	0.1	42	42	3/8	3/8	3/4	2	1	1/40			1/32	4/5		-2	70	Bb4	4	1058
433/5	0.1	42	42	2/5	2/5	3/4	2	1	1/40			1/32	4/5		4	64	E4	4	1059
867/10	0.1	42	42	17/40	17/40	3/4	2	1	1/40			1/32	4/5		0	60	C4	4	1060
434/5	0.1	42	42	9/20	9/20	3/4	2	1	1/40			1/32	4/5		1	55	G3	3	1061
869/10	0.1	42	42	19/40	19/40	3/4	2	1	1/40			1/32	4/5		4	52	E3	3	1062
87	1.0	43	43	0	1/2	3/4	2	2	1/4			1/4	1		-2	34	Bb1	1	1076
87	1.0	43	43	0	1/2	3/4	2	2	1/4			1/4	1		-1	41	F2	2	1076
87	1.0	43	43	0	1/2	3/4	2	2	1/4			1/4	1		-2	46	Bb2	2	1076
87	1.0	43	43	0	1/2	3/4	1	1	1/4			1/4	1		2	74	D5	5	1065
87	1.0	43	43	0	1/2	3/4	1	1	1/4			1/4	1		-1	77	F5	5	1065
87	1.0	43	43	0	1/2	3/4	1	1	1/4			1/4	1		-2	82	Bb5	5	1065
87	1.0	43	43	0	1/2	3/4	1	1	1/4			1/4	1		2	86	D6	6	1065
958/11	0.09090909090909091	43	43	1/44	23/44	3/4	2	1	1/44			1/32	8/11		2	50	D3	3	1066
959/11	0.09090909090909091	43	43	1/22	6/11	3/4	2	1	1/44			1/32	8/11		-4	56	Ab3	3	1067
960/11	0.09090909090909091	43	43	3/44	25/44	3/4	2	1	1/44			1/32	8/11		0	60	C4	4	1068
961/11	0.09090909090909091	43	43	1/11	13/22	3/4	2	1	1/44			1/32	8/11		-1	65	F4	4	1069
962/11	0.09090909090909091	43	43	5/44	27/44	3/4	2	1	1/44			1/32	8/11		-2	70	Bb4	4	1070
963/11	0.09090909090909091	43	43	3/22	7/11	3/4	2	1	1/44			1/32	8/11		-1	65	F4	4	1071
964/11	0.09090909090909091	43	43	7/44	29/44	3/4	2	1	1/44			1/32	8/11		0	60	C4	4	1072
965/11	0.09090909090909091	43	43	2/11	15/22	3/4	2	1	1/44			1/32	8/11		-2	58	Bb3	3	1073
966/11	0.09090909090909091	43	43	9/44	31/44	3/4	2	1	1/44			1/32	8/11		-1	53	F3	3	1074
967/11	0.09090909090909091	43	43	5/22	8/11	3/4	2	1	1/44			1/32	8/11		0	48	C3	3	1075
88	0.1111111111111111	44	44	0	0	3/4	2	1	1/36			1/32	8/9		8	32	G#1	1	1079
88	3.0	44	44	0	0	3/4	1	1	3/4		3/8_c32_1	1/2	3/2		5	83	B5	5	1077
88	3.0	44	44	0	0	3/4	1	1	3/4		3/8_c32_1	1/2	3/2		9	87	D#6	6	1077
88	3.0	44	44	0	0	3/4	1	1	3/4		3/8_c32_2	1/2	3/2		11	89	E#6	6	1078
793/9	0.1111111111111111	44	44	1/36	1/36	3/4	2	1	1/36			1/32	8/9		9	39	D#2	2	1080
794/9	0.1111111111111111	44	44	1/18	1/18	3/4	2	1	1/36			1/32	8/9		8	44	G#2	2	1081
265/3	0.1111111111111111	44	44	1/12	1/12	3/4	2	1	1/36			1/32	8/9		5	47	B2	2	1082
796/9	0.1111111111111111	44	44	1/9	1/9	3/4	2	1	1/36			1/32	8/9		9	51	D#3	3	1083
797/9	0.1111111111111111	44	44	5/36	5/36	3/4	2	1	1/36			1/32	8/9		8	56	G#3	3	1084
266/3	0.1111111111111111	44	44	1/6	1/6	3/4	2	1	1/36			1/32	8/9		5	59	B3	3	1085
799/9	0.1111111111111111	44	44	7/36	7/36	3/4	2	1	1/36			1/32	8/9		8	56	G#3	3	1086
800/9	0.1111111111111111	44	44	2/9	2/9	3/4	2	1	1/36			1/32	8/9		9	51	D#3	3	1087
89	0.1111111111111111	44	44	1/4	1/4	3/4	2	1	1/36			1/32	8/9		8	44	G#2	2	1088
802/9	0.1111111111111111	44	44	5/18	5/18	3/4	2	1	1/36			1/32	8/9		9	51	D#3	3	1089
803/9	0.1111111111111111	44	44	11/36	11/36	3/4	2	1	1/36			1/32	8/9		8	56	G#3	3	1090
268/3	0.1111111111111111	44	44	1/3	1/3	3/4	2	1	1/36			1/32	8/9		5	59	B3	3	1091
805/9	0.1111111111111111	44	44	13/36	13/36	3/4	2	1	1/36			1/32	8/9		9	63	D#4	4	1092
806/9	0.1111111111111111	44	44	7/18	7/18	3/4	2	1	1/36			1/32	8/9		8	68	G#4	4	1093
269/3	0.1111111111111111	44	44	5/12	5/12	3/4	2	1	1/36			1/32	8/9		5	71	B4	4	1094
808/9	0.1111111111111111	44	44	4/9	4/9	3/4	2	1	1/36			1/32	8/9		8	68	G#4	4	1095
809/9	0.1111111111111111	44	44	17/36	17/36	3/4	2	1	1/36			1/32	8/9		9	63	D#4	4	1096
90	0.07692307692307693	44	44	1/2	1/2	3/4	2	1	1/52			1/32	8/13		8	56	G#3	3	1097
1171/13	0.07692307692307693	44	44	27/52	27/52	3/4	2	1	1/52			1/32	8/13		9	63	D#4	4	1098
1172/13	0.07692307692307693	44	44	7/13	7/13	3/4	2	1	1/52			1/32	8/13		8	68	G#4	4	1099
1173/13	0.07692307692307693	44	44	29/52	29/52	3/4	2	1	1/52			1/32	8/13		5	71	B4	4	1100
1174/13	0.07692307692307693	44	44	15/26	15/26	3/4	2	1	1/52			1/32	8/13		9	75	D#5	5	1101
1175/13	0.07692307692307693	44	44	31/52	31/52	3/4	2	1	1/52			1/32	8/13		8	80	G#5	5	1102
1176/13	0.07692307692307693	44	44	8/13	8/13	3/4	2	1	1/52			1/32	8/13		5	83	B5	5	1103
1177/13	0.07692307692307693	44	44	33/52	33/52	3/4	2	1	1/52			1/32	8/13		8	80	G#5	5	1104
1178/13	0.07692307692307693	44	44	17/26	17/26	3/4	2	1	1/52			1/32	8/13		9	75	D#5	5	1105
1179/13	0.07692307692307693	44	44	35/52	35/52	3/4	2	1	1/52			1/32	8/13		8	80	G#5	5	1106
1180/13	0.07692307692307693	44	44	9/13	9/13	3/4	2	1	1/52			1/32	8/13		5	83	B5	5	1107
1181/13	0.07692307692307693	44	44	37/52	37/52	3/4	2	1	1/52			1/32	8/13		9	75	D#5	5	1108
1182/13	0.07692307692307693	44	44	19/26	19/26	3/4	2	1	1/52			1/32	8/13		8	80	G#5	5	1109
91	0.5	45	45	0	0	4/4	2	1	1/8			1/8	1		5	83	B5	5	1146
91	0.05555555555555555	45	45	0	0	4/4	1	1	1/72			1/64	8/9		6	90	F#6	6	1110
1639/18	0.05555555555555555	45	45	1/72	1/72	4/4	1	1	1/72			1/64	8/9		2	86	D6	6	1111
820/9	0.05555555555555555	45	45	1/36	1/36	4/4	1	1	1/72			1/64	8/9		5	83	B5	5	1112
547/6	0.05555555555555555	45	45	1/24	1/24	4/4	1	1	1/72			1/64	8/9		6	78	F#5	5	1113
821/9	0.05555555555555555	45	45	1/18	1/18	4/4	1	1	1/72			1/64	8/9		2	86	D6	6	1114
1643/18	0.05555555555555555	45	45	5/72	5/72	4/4	1	1	1/72			1/64	8/9		5	83	B5	5	1115
274/3	0.05555555555555555	45	45	1/12	1/12	4/4	1	1	1/72			1/64	8/9		8	80	G#5	5	1116
1645/18	0.05555555555555555	45	45	7/72	7/72	4/4	1	1	1/72			1/64	8/9		6	78	F#5	5	1117
823/9	0.05555555555555555	45	45	1/9	1/9	4/4	1	1	1/72			1/64	8/9		2	74	D5	5	1118
183/2	0.05555555555555555	45	45	1/8	1/8	4/4	1	1	1/72			1/64	8/9		5	71	B4	4	1119
824/9	0.05555555555555555	45	45	5/36	5/36	4/4	1	1	1/72			1/64	8/9		8	68	G#4	4	1120
1649/18	0.05555555555555555	45	45	11/72	11/72	4/4	1	1	1/72			1/64	8/9		6	66	F#4	4	1121
275/3	0.05555555555555555	45	45	1/6	1/6	4/4	1	1	1/72			1/64	8/9		8	68	G#4	4	1122
1651/18	0.05555555555555555	45	45	13/72	13/72	4/4	1	1	1/72			1/64	8/9		5	71	B4	4	1123
826/9	0.05555555555555555	45	45	7/36	7/36	4/4	1	1	1/72			1/64	8/9		2	74	D5	5	1124
551/6	0.05555555555555555	45	45	5/24	5/24	4/4	1	1	1/72			1/64	8/9		6	78	F#5	5	1125
827/9	0.05555555555555555	45	45	2/9	2/9	4/4	1	1	1/72			1/64	8/9		5	83	B5	5	1126
1655/18	0.05555555555555555	45	45	17/72	17/72	4/4	1	1	1/72			1/64	8/9		2	86	D6	6	1127
92	0.05555555555555555	45	45	1/4	1/4	4/4	2	1	1/72			1/64	8/9		6	90	F#6	6	1147
1657/18	0.05555555555555555	45	45	19/72	19/72	4/4	2	1	1/72			1/64	8/9		2	86	D6	6	1148
829/9	0.05555555555555555	45	45	5/18	5/18	4/4	2	1	1/72			1/64	8/9		5	83	B5	5	1149
553/6	0.05555555555555555	45	45	7/24	7/24	4/4	2	1	1/72			1/64	8/9		6	78	F#5	5	1150
830/9	0.05555555555555555	45	45	11/36	11/36	4/4	2	1	1/72			1/64	8/9		2	74	D5	5	1151
1661/18	0.05555555555555555	45	45	23/72	23/72	4/4	2	1	1/72			1/64	8/9		5	71	B4	4	1152
277/3	0.05555555555555555	45	45	1/3	1/3	4/4	2	1	1/72			1/64	8/9		8	68	G#4	4	1153
1663/18	0.05555555555555555	45	45	25/72	25/72	4/4	2	1	1/72			1/64	8/9		6	66	F#4	4	1154
832/9	0.05555555555555555	45	45	13/36	13/36	4/4	2	1	1/72			1/64	8/9		2	62	D4	4	1155
185/2	0.05555555555555555	45	45	3/8	3/8	4/4	2	1	1/72			1/64	8/9		5	59	B3	3	1156
833/9	0.05555555555555555	45	45	7/18	7/18	4/4	2	1	1/72			1/64	8/9		8	56	G#3	3	1157
1667/18	0.05555555555555555	45	45	29/72	29/72	4/4	2	1	1/72			1/64	8/9		6	54	F#3	3	1158
278/3	0.05555555555555555	45	45	5/12	5/12	4/4	2	1	1/72			1/64	8/9		8	56	G#3	3	1159
1669/18	0.05555555555555555	45	45	31/72	31/72	4/4	2	1	1/72			1/64	8/9		5	59	B3	3	1160
835/9	0.05555555555555555	45	45	4/9	4/9	4/4	2	1	1/72			1/64	8/9		2	62	D4	4	1161
557/6	0.05555555555555555	45	45	11/24	11/24	4/4	2	1	1/72			1/64	8/9		6	66	F#4	4	1162
836/9	0.05555555555555555	45	45	17/36	17/36	4/4	2	1	1/72			1/64	8/9		5	71	B4	4	1163
1673/18	0.05555555555555555	45	45	35/72	35/72	4/4	2	1	1/72			1/64	8/9		2	74	D5	5	1164
93	0.05555555555555555	45	45	1/2	1/2	4/4	1	1	1/72			1/64	8/9		6	78	F#5	5	1128
1675/18	0.05555555555555555	45	45	37/72	37/72	4/4	1	1	1/72			1/64	8/9		2	74	D5	5	1129
838/9	0.05555555555555555	45	45	19/36	19/36	4/4	1	1	1/72			1/64	8/9		5	71	B4	4	1130
559/6	0.05555555555555555	45	45	13/24	13/24	4/4	1	1	1/72			1/64	8/9		6	66	F#4	4	1131
839/9	0.05555555555555555	45	45	5/9	5/9	4/4	1	1	1/72			1/64	8/9		2	62	D4	4	1132
1679/18	0.05555555555555555	45	45	41/72	41/72	4/4	1	1	1/72			1/64	8/9		5	59	B3	3	1133
280/3	0.05555555555555555	45	45	7/12	7/12	4/4	1	1	1/72			1/64	8/9		8	56	G#3	3	1134
1681/18	0.05555555555555555	45	45	43/72	43/72	4/4	1	1	1/72			1/64	8/9		6	54	F#3	3	1135
841/9	0.05555555555555555	45	45	11/18	11/18	4/4	1	1	1/72			1/64	8/9		2	50	D3	3	1136
187/2	0.05555555555555555	45	45	5/8	5/8	4/4	1	1	1/72			1/64	8/9		5	47	B2	2	1137
842/9	0.05555555555555555	45	45	23/36	23/36	4/4	1	1	1/72			1/64	8/9		8	44	G#2	2	1138
1685/18	0.05555555555555555	45	45	47/72	47/72	4/4	1	1	1/72			1/64	8/9		6	42	F#2	2	1139
