quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
19/2	0.5	3	3	7/8	7/8	4/4	2	1	1/8			1/8	1		2	62	D4	4	67
19/2	0.125	3	3	7/8	7/8	4/4	1	1	1/32			1/32	1		6	66	F#4	4	56
19/2	0.5	3	3	7/8	7/8	4/4	2	1	1/8			1/8	1		6	66	F#4	4	67
19/2	0.5	3	3	7/8	7/8	4/4	2	1	1/8			1/8	1		12	72	B#4	4	67
77/8	0.125	3	3	29/32	29/32	4/4	1	1	1/32			1/32	1		12	72	B#4	4	57
39/4	0.125	3	3	15/16	15/16	4/4	1	1	1/32			1/32	1		4	76	E5	5	58
79/8	0.125	3	3	31/32	31/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	59
10	0.25	4	4	0	0	4/4	1	1	1/16			1/16	1		8	68	G#4	4	68
10	0.5	4	4	0	0	4/4	2	1	1/8			1/8	1		3	69	A4	4	92
10	0.5	4	4	0	0	4/4	2	1	1/8			1/8	1		4	76	E5	5	92
41/4	0.25	4	4	1/16	1/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	69
21/2	0.5	4	4	1/8	1/8	4/4	2	1	1/8			1/8	1		7	73	C#5	5	93
21/2	0.25	4	4	1/8	1/8	4/4	1	1	1/16			1/16	1		8	80	G#5	5	70
21/2	0.5	4	4	1/8	1/8	4/4	2	1	1/8			1/8	1		3	81	A5	5	93
43/4	0.25	4	4	3/16	3/16	4/4	1	1	1/16			1/16	1		7	85	C#6	6	71
11	0.25	4	4	1/4	1/4	4/4	1	1	1/16			1/16	1		6	66	F#4	4	72
11	0.5	4	4	1/4	1/4	4/4	2	1	1/8			1/8	1		6	66	F#4	4	94
11	0.5	4	4	1/4	1/4	4/4	2	1	1/8			1/8	1		0	72	C5	5	94
45/4	0.25	4	4	5/16	5/16	4/4	1	1	1/16			1/16	1		0	72	C5	5	73
23/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8			1/8	1		2	62	D4	4	95
23/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8			1/8	1		3	69	A4	4	95
23/2	0.25	4	4	3/8	3/8	4/4	1	1	1/16			1/16	1		4	76	E5	5	74
47/4	0.25	4	4	7/16	7/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	75
12	0.5	4	4	1/2	1/2	4/4	2	1	1/8			1/8	1		-2	58	Bb3	3	96
12	0.5	4	4	1/2	1/2	4/4	2	1	1/8			1/8	1		8	68	G#4	4	96
12	0.125	4	4	1/2	1/2	4/4	1	1	1/32			1/32	1		2	74	D5	5	76
97/8	0.125	4	4	17/32	17/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	77
49/4	0.125	4	4	9/16	9/16	4/4	1	1	1/32			1/32	1		0	84	C6	6	78
99/8	0.125	4	4	19/32	19/32	4/4	1	1	1/32			1/32	1		4	88	E6	6	79
25/2	0.5	4	4	5/8	5/8	4/4	2	1	1/8			1/8	1		1	55	G3	3	97
25/2	0.5	4	4	5/8	5/8	4/4	2	1	1/8			1/8	1		11	65	E#4	4	97
25/2	0.125	4	4	5/8	5/8	4/4	1	1	1/32			1/32	1		7	85	C#6	6	80
101/8	0.125	4	4	21/32	21/32	4/4	1	1	1/32			1/32	1		3	81	A5	5	81
51/4	0.125	4	4	11/16	11/16	4/4	1	1	1/32			1/32	1		11	77	E#5	5	82
103/8	0.125	4	4	23/32	23/32	4/4	1	1	1/32			1/32	1		5	71	B4	4	83
13	0.5	4	4	3/4	3/4	4/4	2	1	1/8			1/8	1		4	52	E3	3	98
13	0.5	4	4	3/4	3/4	4/4	2	1	1/8			1/8	1		2	62	D4	4	98
13	0.125	4	4	3/4	3/4	4/4	1	1	1/32			1/32	1		8	68	G#4	4	84
105/8	0.125	4	4	25/32	25/32	4/4	1	1	1/32			1/32	1		2	74	D5	5	85
53/4	0.125	4	4	13/16	13/16	4/4	1	1	1/32			1/32	1		6	78	F#5	5	86
107/8	0.125	4	4	27/32	27/32	4/4	1	1	1/32			1/32	1		10	82	A#5	5	87
27/2	0.5	4	4	7/8	7/8	4/4	2	1	1/8			1/8	1		7	49	C#3	3	99
27/2	0.5	4	4	7/8	7/8	4/4	2	1	1/8			1/8	1		5	59	B3	3	99
27/2	0.125	4	4	7/8	7/8	4/4	1	1	1/32			1/32	1		1	79	G5	5	88
109/8	0.125	4	4	29/32	29/32	4/4	1	1	1/32			1/32	1		2	74	D5	5	89
55/4	0.125	4	4	15/16	15/16	4/4	1	1	1/32			1/32	1		5	71	B4	4	90
111/8	0.125	4	4	31/32	31/32	4/4	1	1	1/32			1/32	1		11	65	E#4	4	91
14	1.5	5	5	0	0	4/4	2	1	3/8			1/4	3/2		-2	46	Bb2	2	120
14	1.5	5	5	0	0	4/4	2	1	3/8			1/4	3/2		8	56	G#3	3	120
14	0.25	5	5	0	0	4/4	1	1	1/16			1/16	1		2	62	D4	4	100
57/4	0.25	5	5	1/16	1/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	101
29/2	1.0	5	5	1/8	1/8	4/4	2	2	1/4			1/4	1		-2	58	Bb3	3	124
29/2	1.0	5	5	1/8	1/8	4/4	2	2	1/4			1/4	1		8	68	G#4	4	124
29/2	0.25	5	5	1/8	1/8	4/4	1	1	1/16			1/16	1		0	72	C5	5	102
59/4	0.25	5	5	3/16	3/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	103
15	0.25	5	5	1/4	1/4	4/4	1	1	1/16			1/16	1		0	72	C5	5	104
61/4	0.25	5	5	5/16	5/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	105
31/2	0.5	5	5	3/8	3/8	4/4	2	1	1/8			1/8	1		7	49	C#3	3	121
31/2	0.5	5	5	3/8	3/8	4/4	2	1	1/8			1/8	1		5	59	B3	3	121
31/2	0.125	5	5	3/8	3/8	4/4	1	1	1/32			1/32	1		11	65	E#4	4	106
31/2	0.125	5	5	3/8	3/8	4/4	1	1	1/32			1/32	1		1	67	G4	4	106
125/8	0.125	5	5	13/32	13/32	4/4	1	1	1/32			1/32	1		5	71	B4	4	107
63/4	0.125	5	5	7/16	7/16	4/4	1	1	1/32			1/32	1		2	74	D5	5	108
127/8	0.125	5	5	15/32	15/32	4/4	1	1	1/32			1/32	1		1	79	G5	5	109
16	1.5	5	5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		-2	46	Bb2	2	122
16	1.5	5	5	1/2	1/2	4/4	2	1	3/8			1/4	3/2		8	56	G#3	3	122
16	0.25	5	5	1/2	1/2	4/4	1	1	1/16			1/16	1		2	62	D4	4	110
65/4	0.25	5	5	9/16	9/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	111
33/2	1.0	5	5	5/8	5/8	4/4	2	2	1/4			1/4	1		-2	58	Bb3	3	125
33/2	1.0	5	5	5/8	5/8	4/4	2	2	1/4			1/4	1		8	68	G#4	4	125
33/2	0.25	5	5	5/8	5/8	4/4	1	1	1/16			1/16	1		0	72	C5	5	112
67/4	0.25	5	5	11/16	11/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	113
17	0.25	5	5	3/4	3/4	4/4	1	1	1/16			1/16	1		0	72	C5	5	114
69/4	0.25	5	5	13/16	13/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	115
35/2	0.5	5	5	7/8	7/8	4/4	2	1	1/8			1/8	1		7	49	C#3	3	123
35/2	0.5	5	5	7/8	7/8	4/4	2	1	1/8			1/8	1		5	59	B3	3	123
35/2	0.125	5	5	7/8	7/8	4/4	1	1	1/32			1/32	1		11	65	E#4	4	116
35/2	0.125	5	5	7/8	7/8	4/4	1	1	1/32			1/32	1		1	67	G4	4	116
141/8	0.125	5	5	29/32	29/32	4/4	1	1	1/32			1/32	1		5	71	B4	4	117
71/4	0.125	5	5	15/16	15/16	4/4	1	1	1/32			1/32	1		2	74	D5	5	118
143/8	0.125	5	5	31/32	31/32	4/4	1	1	1/32			1/32	1		1	79	G5	5	119
18	2.0	6	6	0	0	4/4	2	1	1/2			1/2	1		-2	46	Bb2	2	154
18	2.0	6	6	0	0	4/4	2	1	1/2			1/2	1		8	56	G#3	3	154
18	0.25	6	6	0	0	4/4	1	1	1/16			1/16	1		2	62	D4	4	126
73/4	0.25	6	6	1/16	1/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	127
37/2	1.0	6	6	1/8	1/8	4/4	2	2	1/4			1/4	1		-2	58	Bb3	3	155
37/2	1.0	6	6	1/8	1/8	4/4	2	2	1/4			1/4	1		8	68	G#4	4	155
37/2	0.25	6	6	1/8	1/8	4/4	1	1	1/16			1/16	1		0	72	C5	5	128
75/4	0.25	6	6	3/16	3/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	129
19	0.25	6	6	1/4	1/4	4/4	1	1	1/16			1/16	1		0	72	C5	5	130
77/4	0.25	6	6	5/16	5/16	4/4	1	1	1/16			1/16	1		8	68	G#4	4	131
39/2	0.5	6	6	3/8	3/8	4/4	2	2	1/8			1/8	1	1	-2	58	Bb3	3	156
39/2	0.25	6	6	3/8	3/8	4/4	1	1	1/16			1/16	1		2	62	D4	4	132
39/2	0.5	6	6	3/8	3/8	4/4	2	2	1/8			1/8	1	1	8	68	G#4	4	156
79/4	0.25	6	6	7/16	7/16	4/4	1	1	1/16			1/16	1		4	64	E4	4	133
20	0.5	6	6	1/2	1/2	4/4	2	2	1/8			1/8	1	-1	-2	58	Bb3	3	157
20	0.125	6	6	1/2	1/2	4/4	1	1	1/32			1/32	1		2	62	D4	4	134
20	0.5	6	6	1/2	1/2	4/4	2	2	1/8			1/8	1	-1	8	68	G#4	4	157
161/8	0.125	6	6	17/32	17/32	4/4	1	1	1/32			1/32	1		0	60	C4	4	135
81/4	0.125	6	6	9/16	9/16	4/4	1	1	1/32			1/32	1		2	62	D4	4	136
163/8	0.125	6	6	19/32	19/32	4/4	1	1	1/32			1/32	1		4	64	E4	4	137
41/2	0.5	6	6	5/8	5/8	4/4	2	2	1/8			1/8	1		8	56	G#3	3	158
41/2	0.5	6	6	5/8	5/8	4/4	2	2	1/8			1/8	1		12	60	B#3	3	158
41/2	0.5	6	6	5/8	5/8	4/4	2	2	1/8			1/8	1		6	66	F#4	4	158
165/8	0.125	6	6	21/32	21/32	4/4	1	1	1/32			1/32	1		8	68	G#4	4	138
83/4	0.125	6	6	11/16	11/16	4/4	1	1	1/32			1/32	1		10	70	A#4	4	139
167/8	0.125	6	6	23/32	23/32	4/4	1	1	1/32			1/32	1		12	72	B#4	4	140
21	0.5	6	6	3/4	3/4	4/4	2	2	1/8			1/8	1		6	54	F#3	3	159
21	0.5	6	6	3/4	3/4	4/4	2	2	1/8			1/8	1		10	58	A#3	3	159
21	0.5	6	6	3/4	3/4	4/4	2	2	1/8			1/8	1		4	64	E4	4	159
21	0.125	6	6	3/4	3/4	4/4	1	1	1/32			1/32	1		2	74	D5	5	141
169/8	0.125	6	6	25/32	25/32	4/4	1	1	1/32			1/32	1		4	76	E5	5	142
85/4	0.125	6	6	13/16	13/16	4/4	1	1	1/32			1/32	1		6	78	F#5	5	143
171/8	0.125	6	6	27/32	27/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	144
43/2	0.0	6	6	7/8	7/8	4/4	1	1	0	acciaccatura		1/8	1		1	79	G5	5	145
43/2	0.0	6	6	7/8	7/8	4/4	1	1	0	acciaccatura		1/8	1		5	83	B5	5	145
43/2	0.5	6	6	7/8	7/8	4/4	2	2	1/8			1/8	1		-1	53	F3	3	160
43/2	0.5	6	6	7/8	7/8	4/4	2	2	1/8			1/8	1		3	57	A3	3	160
43/2	0.5	6	6	7/8	7/8	4/4	2	2	1/8			1/8	1		9	63	D#4	4	160
43/2	0.0625	6	6	7/8	7/8	4/4	1	1	1/64			1/64	1		5	71	B4	4	146
345/16	0.0625	6	6	57/64	57/64	4/4	1	1	1/64			1/64	1		7	73	C#5	5	147
173/8	0.0625	6	6	29/32	29/32	4/4	1	1	1/64			1/64	1		9	75	D#5	5	148
347/16	0.0625	6	6	59/64	59/64	4/4	1	1	1/64			1/64	1		11	77	E#5	5	149
87/4	0.0625	6	6	15/16	15/16	4/4	1	1	1/64			1/64	1		8	80	G#5	5	150
349/16	0.0625	6	6	61/64	61/64	4/4	1	1	1/64			1/64	1		3	81	A5	5	151
175/8	0.0625	6	6	31/32	31/32	4/4	1	1	1/64			1/64	1		5	83	B5	5	152
351/16	0.0625	6	6	63/64	63/64	4/4	1	1	1/64			1/64	1		7	85	C#6	6	153
22	0.0	7	7	0	0	4/4	1	1	0	acciaccatura		1/8	1		8	80	G#5	5	161
22	0.0	7	7	0	0	4/4	1	1	0	acciaccatura		1/8	1		9	87	D#6	6	161
22	0.5	7	7	0	0	4/4	2	1	1/8			1/8	1		4	40	E2	2	182
22	0.5	7	7	0	0	4/4	2	1	1/8			1/8	1		5	47	B2	2	182
22	0.5	7	7	0	0	4/4	2	1	1/8			1/8	1		8	56	G#3	3	182
22	0.25	7	7	0	0	4/4	1	1	1/16			1/16	1		9	75	D#5	5	162
89/4	0.25	7	7	1/16	1/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	163
45/2	0.5	7	7	1/8	1/8	4/4	2	1	1/8			1/8	1		4	64	E4	4	183
45/2	0.5	7	7	1/8	1/8	4/4	2	1	1/8			1/8	1		5	71	B4	4	183
45/2	0.25	7	7	1/8	1/8	4/4	1	1	1/16			1/16	1		9	87	D#6	6	164
91/4	0.25	7	7	3/16	3/16	4/4	1	1	1/16			1/16	1		6	90	F#6	6	165
23	0.5	7	7	1/4	1/4	4/4	2	1	1/8			1/8	1		9	63	D#4	4	184
23	0.5	7	7	1/4	1/4	4/4	2	1	1/8			1/8	1		8	68	G#4	4	184
23	0.5	7	7	1/4	1/4	4/4	2	1	1/8			1/8	1		9	75	D#5	5	184
23	0.25	7	7	1/4	1/4	4/4	1	1	1/16			1/16	1		9	87	D#6	6	166
93/4	0.25	7	7	5/16	5/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	167
47/2	0.5	7	7	3/8	3/8	4/4	2	1	1/8			1/8	1		3	57	A3	3	185
47/2	0.5	7	7	3/8	3/8	4/4	2	1	1/8			1/8	1		4	64	E4	4	185
47/2	0.125	7	7	3/8	3/8	4/4	1	1	1/32			1/32	1		7	73	C#5	5	168
189/8	0.125	7	7	13/32	13/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	169
95/4	0.125	7	7	7/16	7/16	4/4	1	1	1/32			1/32	1		7	85	C#6	6	170
191/8	0.125	7	7	15/32	15/32	4/4	1	1	1/32			1/32	1		4	88	E6	6	171
24	0.5	7	7	1/2	1/2	4/4	2	1	1/8			1/8	1		4	52	E3	3	186
24	0.5	7	7	1/2	1/2	4/4	2	1	1/8			1/8	1		5	59	B3	3	186
24	0.5	7	7	1/2	1/2	4/4	2	1	1/8			1/8	1		8	68	G#4	4	186
24	0.25	7	7	1/2	1/2	4/4	1	1	1/16			1/16	1		9	75	D#5	5	172
97/4	0.25	7	7	9/16	9/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	173
49/2	0.5	7	7	5/8	5/8	4/4	2	1	1/8			1/8	1		4	64	E4	4	187
49/2	0.5	7	7	5/8	5/8	4/4	2	1	1/8			1/8	1		5	71	B4	4	187
49/2	0.25	7	7	5/8	5/8	4/4	1	1	1/16			1/16	1		9	87	D#6	6	174
99/4	0.25	7	7	11/16	11/16	4/4	1	1	1/16			1/16	1		6	90	F#6	6	175
25	0.5	7	7	3/4	3/4	4/4	2	1	1/8			1/8	1		9	63	D#4	4	188
25	0.5	7	7	3/4	3/4	4/4	2	1	1/8			1/8	1		8	68	G#4	4	188
25	0.5	7	7	3/4	3/4	4/4	2	1	1/8			1/8	1		9	75	D#5	5	188
25	0.25	7	7	3/4	3/4	4/4	1	1	1/16			1/16	1		9	87	D#6	6	176
101/4	0.25	7	7	13/16	13/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	177
51/2	0.5	7	7	7/8	7/8	4/4	2	1	1/8			1/8	1		3	57	A3	3	189
51/2	0.5	7	7	7/8	7/8	4/4	2	1	1/8			1/8	1		4	64	E4	4	189
51/2	0.125	7	7	7/8	7/8	4/4	1	1	1/32			1/32	1		7	73	C#5	5	178
205/8	0.125	7	7	29/32	29/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	179
103/4	0.125	7	7	15/16	15/16	4/4	1	1	1/32			1/32	1		7	85	C#6	6	180
207/8	0.125	7	7	31/32	31/32	4/4	1	1	1/32			1/32	1		4	88	E6	6	181
26	0.5	8	8	0	0	2/4	2	1	1/8			1/8	1		4	52	E3	3	198
26	0.5	8	8	0	0	2/4	2	1	1/8			1/8	1		5	59	B3	3	198
26	0.5	8	8	0	0	2/4	2	1	1/8			1/8	1		8	68	G#4	4	198
26	0.25	8	8	0	0	2/4	1	1	1/16			1/16	1		9	75	D#5	5	190
105/4	0.25	8	8	1/16	1/16	2/4	1	1	1/16			1/16	1		8	80	G#5	5	191
53/2	0.5	8	8	1/8	1/8	2/4	2	1	1/8			1/8	1		4	64	E4	4	199
53/2	0.5	8	8	1/8	1/8	2/4	2	1	1/8			1/8	1		5	71	B4	4	199
53/2	0.25	8	8	1/8	1/8	2/4	1	1	1/16			1/16	1		9	87	D#6	6	192
107/4	0.25	8	8	3/16	3/16	2/4	1	1	1/16			1/16	1		6	90	F#6	6	193
27	0.5	8	8	1/4	1/4	2/4	2	1	1/8			1/8	1		9	63	D#4	4	200
27	0.5	8	8	1/4	1/4	2/4	2	1	1/8			1/8	1		8	68	G#4	4	200
27	0.5	8	8	1/4	1/4	2/4	2	1	1/8			1/8	1		9	75	D#5	5	200
27	0.25	8	8	1/4	1/4	2/4	1	1	1/16			1/16	1		8	80	G#5	5	194
109/4	0.25	8	8	5/16	5/16	2/4	1	1	1/16			1/16	1		9	87	D#6	6	195
55/2	0.5	8	8	3/8	3/8	2/4	2	1	1/8			1/8	1		5	71	B4	4	201
55/2	0.5	8	8	3/8	3/8	2/4	2	1	1/8			1/8	1		4	76	E5	5	201
55/2	0.5	8	8	3/8	3/8	2/4	2	1	1/8			1/8	1		5	83	B5	5	201
55/2	0.25	8	8	3/8	3/8	2/4	1	1	1/16			1/16	1		8	92	G#6	6	196
111/4	0.25	8	8	7/16	7/16	2/4	1	1	1/16			1/16	1		5	95	B6	6	197
28	0.5	9	9	0	0	4/4	2	1	1/8			1/8	1		7	73	C#5	5	222
28	0.5	9	9	0	0	4/4	2	1	1/8			1/8	1		8	80	G#5	5	222
28	0.25	9	9	0	0	4/4	1	1	1/16			1/16	1		4	88	E6	6	202
113/4	0.25	9	9	1/16	1/16	4/4	1	1	1/16			1/16	1		5	83	B5	5	203
57/2	0.25	9	9	1/8	1/8	4/4	1	1	1/16			1/16	1		4	76	E5	5	204
57/2	0.5	9	9	1/8	1/8	4/4	2	1	1/8			1/8	1		8	80	G#5	5	223
57/2	0.5	9	9	1/8	1/8	4/4	2	1	1/8			1/8	1		7	85	C#6	6	223
115/4	0.25	9	9	3/16	3/16	4/4	1	1	1/16			1/16	1		5	71	B4	4	205
29	0.5	9	9	1/4	1/4	4/4	2	1	1/8			1/8	1		6	66	F#4	4	224
29	0.5	9	9	1/4	1/4	4/4	2	1	1/8			1/8	1		7	73	C#5	5	224
29	0.25	9	9	1/4	1/4	4/4	1	1	1/16			1/16	1		3	81	A5	5	206
117/4	0.25	9	9	5/16	5/16	4/4	1	1	1/16			1/16	1		4	76	E5	5	207
59/2	0.125	9	9	3/8	3/8	4/4	1	1	1/32			1/32	1		3	69	A4	4	208
