mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Pedal_Gardez la Ped. jusqu'à   <sym>keyboardPedalUp</sym>	TextLine	TextLine_ra	TextLine_len
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	35		articStaccatoBelow																		
6	6	15	15	0.0	0	0	Dynamic	6/8	2	1	0						f																			
6	6	15	15	0.0	0	0	Spanner	6/8	2	1	0																0									
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	36		articAccentStaccatoAbove									0									
6	6	31/2	31/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	37									0		0									
6	6	47/3	47/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	38									0		0									
6	6	95/6	95/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	39											0									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	40		articStaccatoAbove									0									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	41		articStaccatoAbove									0									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	42											0									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	43		articStaccatoAbove									0									
7	7	18	18	0.0	0	0	Spanner	6/8	2	1	0																									
7	7	18	18	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	44		articAccentStaccatoAbove																		
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	6/8	2	1	0																	0								
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	45		articStaccatoAbove										0								
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	46		articStaccatoAbove										0								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	47		articStaccatoAbove										0								
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	48		articStaccatoAbove										0								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	49		articStaccatoAbove										0								
8	8	21	21	0.0	0	0	Dynamic	6/8	2	1	0						f																			
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0																									
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0																1									
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	50		articAccentStaccatoAbove									1									
8	8	43/2	43/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	51									1		1									
8	8	65/3	65/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	52									1		1									
8	8	131/6	131/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	53											1									
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	54		articStaccatoAbove									1									
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	55		articStaccatoAbove									1									
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	56											1									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	57		articStaccatoAbove									1									
9	9	24	24	0.0	0	0	Spanner	6/8	2	1	0																									
9	9	24	24	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	58		articAccentStaccatoAbove																		
9	9	49/2	49/2	0.0	1/8	1/8	Spanner	6/8	2	1	0																	1								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	59		articStaccatoAbove										1								
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	60		articStaccatoAbove										1								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	61		articStaccatoAbove										1								
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	62		articStaccatoAbove										1								
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	6/8	2	1	0						other-dynamics																			
9	9	53/2	53/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	63		articStaccatoAbove																		
10	10	27	27	0.0	0	0	Dynamic	6/8	2	1	0						other-dynamics																			
10	10	27	27	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	64		articStaccatoAbove																		
10	10	55/2	55/2	0.0	1/8	1/8	Spanner	6/8	2	1	0																2									
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	65		articStaccatoAbove									2									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	66		articStaccatoAbove									2									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	67		articStaccatoAbove									2									
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	68		articStaccatoAbove									2									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	69		articStaccatoAbove									2									
11	11	32	32	0.16666666666666666	1/2	1/2	Chord	6/8	1	1	1/24			1/16	2/3	70									2											
11	11	193/6	193/6	0.16666666666666666	13/24	13/24	Chord	6/8	1	1	1/24			1/16	2/3	71									2											
11	11	97/3	97/3	0.16666666666666666	7/12	7/12	Chord	6/8	1	1	1/24			1/16	2/3	72									2											
11	11	65/2	65/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24			1/16	2/3	73									2											
11	11	98/3	98/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24			1/16	2/3	74									2											
11	11	197/6	197/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24			1/16	2/3	75																				
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	76		articStaccatoAbove									2									
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	77		articStaccatoAbove									2									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	78		articStaccatoAbove									2									
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	79		articStaccatoAbove									2									
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	80		articStaccatoAbove									2									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	81		articStaccatoAbove									2									
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	82		articStaccatoAbove																		
12	12	67/2	67/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	83									3											
12	12	101/3	101/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	84									3											
12	12	203/6	203/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	85									3											
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	86		articStaccatoBelow																		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	87		articStaccatoAbove																		
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	88		articStaccatoAbove																		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	89		articStaccatoAbove																		
12	12	33	33	0.0	0	0	Dynamic	6/8	1	2	0						p																			
12	12	33	33	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	90																				
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	91																				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	92																				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	93																				
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0																									
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	94																				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	95																				
13	13	36	36	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	96		articStaccatoAbove																		
13	13	73/2	73/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	97									4											
13	13	110/3	110/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	98									4											
13	13	221/6	221/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	99									4											
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	100		articStaccatoBelow																		
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	101		articStaccatoAbove																		
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	102		articStaccatoAbove																		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	103		articStaccatoAbove																		
13	13	36	36	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	104																				
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	105																				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	106																				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	107																				
13	13	36	36	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	108																				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	109																				
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	110		articStaccatoAbove																		
14	14	79/2	79/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	111									5											
14	14	119/3	119/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	112									5											
14	14	239/6	239/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	113									5											
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	114		articAccentAbove							5											
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														5		3									
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	115									5		3									
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	116		articStaccatoBelow																		
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	117																				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	118		articStaccatoBelow																		
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	119		articStaccatoBelow																		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	120		articStaccatoBelow																		
14	14	39	39	3.0	0	0	Chord	6/8	2	2	3/4			1/2	3/2	121																				
15	15	42	42	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	122									5		3									
15	15	85/2	85/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	123									5		3									
15	15	87/2	87/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																									
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	124																				
15	15	42	42	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	125		articStaccatoBelow																		
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	126		articStaccatoAbove																		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	127		articStaccatoBelow																		
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	128		articStaccatoAbove																		
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	129		articStaccatoBelow																		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	130		articStaccatoAbove																		
16	16	45	45	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	131		articStaccatoAbove																		
16	16	91/2	91/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	132									6											
16	16	137/3	137/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	133									6											
16	16	275/6	275/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	134									6											
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	135		articStaccatoBelow																		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	136		articStaccatoAbove																		
16	16	47	47	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	137		articStaccatoAbove																		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	138		articStaccatoAbove																		
16	16	45	45	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	139																				
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	140																				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	141																				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	142																				
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	143																				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	144																				
17	17	48	48	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	145		articStaccatoAbove																		
17	17	97/2	97/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	146									7											
17	17	146/3	146/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	147									7											
17	17	293/6	293/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	148									7											
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	149		articStaccatoBelow																		
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	150		articStaccatoAbove																		
17	17	50	50	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	151		articStaccatoAbove																		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	152		articStaccatoAbove																		
17	17	48	48	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	153																				
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	154																				
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	155																				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	156																				
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	157																				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	158																				
18	18	51	51	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	159		articStaccatoAbove																		
18	18	103/2	103/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	160									8											
18	18	155/3	155/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	161									8											
18	18	311/6	311/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	162									8											
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	163		articAccentAbove							8											
18	18	105/2	105/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														8		4									
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	164									8		4									
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	165											4									
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	166											4									
18	18	51	51	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	167																				
18	18	51	51	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	168																				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	169		articStaccatoAbove																		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	170		articStaccatoAbove																		
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	171		articStaccatoAbove																		
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	172		articStaccatoAbove																		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	173		articStaccatoAbove																		
19	19	54	54	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	174									8		4									
19	19	109/2	109/2	0.0	1/8	1/8	Spanner	6/8	1	1	0																									
19	19	109/2	109/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	175																				
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	176																				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	177																				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	178																				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	179																				
19	19	54	54	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	180																				
19	19	54	54	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	181																				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	182		articStaccatoAbove																		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	183		articStaccatoAbove																		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	184		articStaccatoAbove																		
19	19	56	56	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	185		articStaccatoAbove																		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	186		articStaccatoAbove																		
20	20	57	57	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	187		articStaccatoAbove																		
20	20	115/2	115/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	1	1/24			1/16	2/3	188									9											
20	20	173/3	173/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	1	1/24			1/16	2/3	189									9											
20	20	347/6	347/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	1	1/24			1/16	2/3	190									9											
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	191		articAccentAbove							9											
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														9		5									
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	192									9		5									
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	193											5									
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	194											5									
20	20	57	57	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	195																				
20	20	57	57	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	196																				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	197		articStaccatoBelow																		
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	198		articStaccatoBelow																		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	199		articStaccatoBelow																		
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	200		articStaccatoBelow																		
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	201		articStaccatoBelow																		
21	21	60	60	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	202									9		5									
21	21	121/2	121/2	0.0	1/8	1/8	Spanner	6/8	1	1	0																									
21	21	121/2	121/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	203																				
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	204																				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	205																				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	206																				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	207																				
21	21	60	60	3.0	0	0	Chord	6/8	2	1	3/4			1/2	3/2	208																				
21	21	60	60	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	209																				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	210		articStaccatoBelow																		
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	211		articStaccatoBelow																		
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	212		articStaccatoBelow																		
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	213		articStaccatoBelow																		
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	214		articStaccatoBelow																		
22	22	63	63	0.0	0	0	Dynamic	6/8	1	1	0						p																			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	215		articStaccatoBelow																		
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	216		articAccentAbove																		
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	217		articStaccatoBelow																		
22	22	63	63	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	218		articAccentStaccatoBelow																		
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	219		articStaccatoBelow																		
22	22	65	65	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	220		articStaccatoBelow																		
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	221		articStaccatoBelow																		
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	222		articStaccatoBelow																		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	223		articStaccatoBelow																		
23	23	68	68	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	224		articStaccatoBelow																		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	225		articStaccatoBelow																		
23	23	66	66	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	226		articAccentStaccatoBelow																		
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	227		articStaccatoBelow																		
