mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
162	162	0	V(#86)	III	D	I	V	V(#86)	V			#86			M	0	0	1, 5, 4		1.0	1.0
163	163	0	V7(9)		D	I	V	V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
163	163	3/4	V(#86)	III	D	I	V	V(#86)	V			#86			M	0	0	1, 5, 4		1.0	1.0
164	164	0	V]\\		D	I	V	V	V					\\	M	0	0	1, 5, 2		1.0	1.0
166	166	0	.bII.I(+b6)		D	I										0	0				
166	166	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
166	166	3/4	vM7(b9b6+4)		D	I		vM7(b9b6+4)	v	M	7	b9b6+4			mM7	0	0	1, -2, -3, 6	-4, 0	1.0	1.0
167	167	0	I(+b6)		D	I		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
167	167	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
167	167	3/4	vM7(b96+4)		D	I		vM7(b96+4)	v	M	7	b96+4			mM7	0	0	1, -2, 4, 6	-4, 0	1.0	1.0
168	168	0	I(+b6)		D	I		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
168	168	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
169	169	0	I(+b6)		D	I		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
169	169	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
170	170	0	III.I(+b6)		D	III		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
170	170	3/8	I		D	III		I	I						M	0	0	0, 4, 1		0.0	0.0
170	170	3/4	vM7(b96+4)		D	III		vM7(b96+4)	v	M	7	b96+4			mM7	0	0	1, -2, 4, 6	-4, 0	1.0	1.0
171	171	0	I(+b6)		D	III		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
171	171	3/8	I		D	III		I	I						M	0	0	0, 4, 1		0.0	0.0
171	171	3/4	vM7(b96+4)		D	III		vM7(b96+4)	v	M	7	b96+4			mM7	0	0	1, -2, 4, 6	-4, 0	1.0	1.0
172	172	0	I(+b6)		D	III		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
172	172	3/8	I		D	III		I	I						M	0	0	0, 4, 1		0.0	0.0
173	173	0	V.I(+b6)		D	V		I(+b6)	I			+b6			M	0	0	0, 4, 1	-4	0.0	0.0
173	173	3/8	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
174	174	0	VII.I		D	VII		I	I						M	0	0	0, 4, 1		0.0	0.0
175	175	0	.bvii%7		D	VII										0	0				
176	176	0	I		D	VII		I	I						M	0	0	0, 4, 1		0.0	0.0
177	177	0	.bvi7		D	VII										0	0				
178	178	0	I		D	VII		I	I						M	0	0	0, 4, 1		0.0	0.0
179	179	0	.bV7		D	VII										0	0				
